id,cliente_id,vehiculo_id,fecha,total,descuento,estado,detalles
1,10,18,2024-07-05,10021.59,0,Pagada,22:3:6478.23;36:2:3543.36
2,13,22,2024-08-08,2982.25,0,Pagada,27:1:2982.25
3,25,43,2024-11-10,6745.04,0,Pagada,10:1:3175.22;32:3:1720.32;3:3:1849.5
4,29,50,2024-06-22,19575.93,0,Pagada,1:2:737.94;10:2:6350.44;27:2:5964.5;5:3:6523.05
5,22,39,2023-11-21,2287.41,154.1,Cancelada,32:1:573.44;35:3:1868.07
6,15,29,2023-04-03,8933.55,0,Pagada,7:1:7323.66;29:3:1609.89
7,21,38,2023-10-28,9456.15,0,Pagada,28:1:9456.15
8,44,78,2023-06-24,1528.5,0,Pagada,40:2:1528.5
9,38,64,2023-08-26,2131.09,186.48,Cancelada,17:2:1085.68;30:3:1231.89
10,44,78,2023-03-17,5980.1,0,Pagada,23:2:3484.64;38:3:2495.46
11,30,52,2023-07-23,23596.43,0,Pagada,31:3:2105.13;7:2:14647.32;16:3:5176.02;25:2:1667.96
12,43,77,2023-10-09,4979.97,0,Pendiente,4:3:4979.97
13,19,36,2024-09-13,5538.95,0,Pagada,15:2:1116.02;13:3:2130.18;40:3:2292.75
14,9,17,2023-04-10,30406.92,0,Pagada,3:2:1233.0;20:3:27805.47;29:1:536.63;38:1:831.82
15,27,46,2023-07-25,1245.38,0,Cancelada,35:2:1245.38
16,11,20,2024-05-08,12051.16,0,Cancelada,19:1:483.04;22:1:2159.41;8:1:8176.82;30:3:1231.89
17,36,62,2023-04-03,2700.03,0,Pagada,1:1:368.97;17:2:1085.68;35:2:1245.38
18,38,65,2024-10-15,30181.88,0,Pagada,7:3:21970.98;15:3:1674.03;31:2:1403.42;2:3:5133.45
19,30,52,2024-10-26,1904.28,0,Pagada,9:1:671.28;3:2:1233.0
20,16,30,2024-02-02,10814.82,0,Pendiente,35:3:1868.07;27:3:8946.75
21,42,74,2024-05-16,16236.63,0,Pagada,18:3:15003.63;3:2:1233.0
22,16,31,2023-04-12,6387.57,0,Pendiente,24:2:1739.88;35:2:1245.38;23:1:1742.32;4:1:1659.99
23,6,11,2024-10-19,5082.29,0,Pendiente,2:2:3422.3;4:1:1659.99
24,14,24,2025-02-22,4562.28,0,Pendiente,38:1:831.82;14:2:3730.46
25,39,67,2023-10-11,7644.41,0,Pagada,10:2:6350.44;9:1:671.28;35:1:622.69
26,1,1,2023-09-01,3766.9,165.54,Pagada,2:2:3422.3;12:1:510.14
27,5,9,2024-04-04,12883.96,0,Pagada,33:2:3064.84;38:3:2495.46;7:1:7323.66
28,43,77,2024-04-14,6742.28,0,Pagada,2:2:3422.3;4:2:3319.98
29,46,80,2023-03-17,7915.97,0,Pagada,21:1:746.83;39:1:818.7;10:2:6350.44
30,46,80,2024-01-26,10218.32,715.88,Pendiente,34:3:4960.23;19:2:966.08;30:1:410.63;33:3:4597.26
31,36,61,2024-03-16,7080.52,0,Pagada,15:2:1116.02;27:2:5964.5
32,21,38,2023-11-17,8214.97,745.29,Pagada,24:3:2609.82;10:2:6350.44
33,7,13,2023-05-14,6038.82,0,Pagada,38:3:2495.46;36:2:3543.36
34,43,77,2025-01-08,1449.12,0,Pagada,19:3:1449.12
35,33,56,2023-06-08,23087.0,0,Pendiente,15:2:1116.02;7:3:21970.98
36,37,63,2024-03-15,12741.24,0,Pagada,40:3:2292.75;36:3:5315.04;2:3:5133.45
37,45,79,2023-12-14,510.14,0,Pagada,12:1:510.14
38,10,18,2023-04-04,5398.42,0,Pagada,14:2:3730.46;25:2:1667.96
39,47,82,2025-03-06,25069.4,1162.36,Pagada,39:1:818.7;6:3:14227.41;4:1:1659.99;10:3:9525.66
40,39,68,2024-02-29,1532.42,0,Pagada,33:1:1532.42
41,44,78,2024-06-23,2847.6,59.43,Cancelada,3:2:1233.0;15:3:1674.03
42,50,88,2025-02-21,691.04,55.79,Pagada,21:1:746.83
43,25,43,2024-05-27,9988.93,18.76,Cancelada,23:2:3484.64;5:3:6523.05
44,21,38,2024-08-10,3820.1,128.23,Pendiente,27:1:2982.25;19:2:966.08
45,40,71,2024-12-07,52655.83,5020.9,Pagada,6:2:9484.94;28:3:28368.45;7:2:14647.32;16:3:5176.02
46,15,28,2025-03-08,4362.82,234.44,Cancelada,33:3:4597.26
47,23,41,2025-01-14,27414.38,0,Pagada,10:1:3175.22;16:1:1725.34;7:3:21970.98;17:1:542.84
48,12,21,2024-04-20,8902.2,0,Cancelada,38:3:2495.46;29:3:1609.89;37:3:4796.85
49,21,38,2024-03-26,1609.89,0,Pagada,29:3:1609.89
50,4,6,2024-06-03,790.98,30.28,Pagada,30:2:821.26
51,42,74,2024-09-21,3733.83,0,Pagada,25:3:2501.94;30:3:1231.89
52,3,4,2024-08-08,3925.32,24.44,Pagada,21:2:1493.66;39:3:2456.1
53,22,39,2024-05-31,5300.18,0,Pagada,3:3:1849.5;16:2:3450.68
54,40,70,2024-01-08,966.08,0,Pagada,19:2:966.08
55,39,67,2024-10-08,8652.58,0,Pagada,5:1:2174.35;22:3:6478.23
56,47,83,2024-09-09,12884.34,0,Pagada,22:3:6478.23;6:1:4742.47;38:2:1663.64
57,43,77,2023-05-13,32764.39,0,Pagada,6:3:14227.41;20:2:18536.98
58,9,17,2024-12-20,23901.32,0,Pagada,34:3:4960.23;6:2:9484.94;28:1:9456.15
59,14,25,2025-02-23,1229.29,0,Pendiente,15:1:558.01;9:1:671.28
60,33,56,2024-11-08,764.25,0,Pagada,40:1:764.25
61,12,21,2025-01-08,11556.57,0,Pagada,27:3:8946.75;24:3:2609.82
62,19,36,2023-08-28,10671.91,0,Pagada,20:1:9268.49;31:2:1403.42
63,29,51,2025-02-26,2501.94,0,Cancelada,25:3:2501.94
64,13,22,2023-09-14,1403.42,0,Pagada,31:2:1403.42
65,34,57,2023-10-19,13053.12,0,Pagada,11:2:13053.12
66,28,48,2023-08-16,14111.37,0,Pagada,23:1:1742.32;2:2:3422.3;27:3:8946.75
67,6,12,2023-08-18,21970.98,0,Pendiente,7:3:21970.98
68,9,15,2023-10-21,3438.12,0,Pagada,31:1:701.71;9:1:671.28;29:1:536.63;40:2:1528.5
69,47,83,2024-06-24,2578.43,112.99,Pendiente,19:2:966.08;16:1:1725.34
