id,cliente_id,marca,modelo,anio,placa,color,kilometraje
1,1,Kia,Rio,2020,XD9797Y,Gris,173024
2,2,Nissan,X-Trail,2012,OA5315Q,Verde,51832
3,3,Honda,CR-V,2023,UQ4258E,Gris,47349
4,3,Kia,Morning,2024,AT6310P,Blanco,34325
5,4,Nissan,Versa,2010,HS2290C,Plata,132399
6,4,Honda,HR-V,2022,EE8787R,Negro,74483
7,4,Kia,Morning,2016,GR4295W,Gris,109593
8,5,Volkswagen,Tiguan,2024,QO2982H,Negro,21784
9,5,Volkswagen,Golf,2019,RH4608A,Blanco,190556
10,5,Toyota,Camry,2011,BK2160Q,Negro,78001
11,6,Chevrolet,Cheyenne,2012,XS8744H,Verde,128987
12,6,Mazda,Mazda6,2011,DV8062L,Rojo,112767
13,7,Toyota,Corolla,2010,MX6559Z,Verde,33644
14,8,Chevrolet,Cheyenne,2017,EN4006I,Rojo,70485
15,9,Honda,Fit,2022,RD1828U,Azul,8868
16,9,Honda,Accord,2012,NP8886G,Verde,110130
17,9,Toyota,Camry,2016,AM5345Z,Verde,124277
18,10,Kia,Seltos,2012,GJ4566B,Azul,197869
19,11,Volkswagen,Golf,2010,SP9238Q,Negro,19910
20,11,Kia,Rio,2023,FC2113V,Verde,66657
21,12,BMW,Serie 5,2019,TB2343N,Plata,158006
22,13,Volkswagen,T-Cross,2013,VW6147H,Gris,108752
23,13,Ford,Ranger,2017,KY2188A,Rojo,167833
24,14,Honda,Civic,2018,GQ5345E,Gris,23033
25,14,Chevrolet,Sail,2014,FO9900W,Gris,165347
26,14,Kia,Rio,2020,RJ2697E,Gris,35258
27,15,Kia,Cerato,2014,JT4450W,Gris,58371
28,15,Nissan,March,2017,IB2512U,Rojo,77530
29,15,Toyota,Corolla,2015,YE5291F,Plata,120824
30,16,Mazda,BT-50,2010,DC3442R,Blanco,101787
31,16,BMW,X5,2012,NE1685J,Gris,15458
32,17,Chevrolet,Onix,2020,DL7658T,Plata,45515
33,17,Chevrolet,Onix,2022,ZF7755A,Negro,198085
34,17,Volkswagen,Tiguan,2022,VX5065I,Negro,188835
35,18,Toyota,RAV4,2013,GO6728J,Verde,64662
36,19,Chevrolet,Tracker,2015,IC5573L,Plata,138537
37,20,Kia,Sportage,2010,DI3925S,Gris,15028
38,21,Mazda,CX-5,2021,ZK8149T,Azul,35315
39,22,BMW,Serie 5,2014,BW8144A,Azul,146151
40,23,Chevrolet,Sail,2016,CV6409T,Gris,178903
41,23,Honda,CR-V,2018,JV7691K,Rojo,187769
42,24,Ford,Escape,2016,VM3851T,Azul,83892
43,25,Toyota,Hilux,2014,GN6279O,Rojo,120909
44,26,Kia,Seltos,2022,ZX3780V,Blanco,79392
45,26,Kia,Morning,2015,CY4848V,Gris,63888
46,27,Ford,Focus,2010,HP2193O,Rojo,170089
47,27,BMW,Serie 5,2021,WM9099M,Negro,43684
48,28,Toyota,Corolla,2022,NH3881Z,Plata,140779
49,28,Hyundai,i10,2018,HD8478E,Verde,126803
50,29,Kia,Morning,2015,YO9270N,Verde,148621
51,29,Hyundai,Accent,2021,PO5246Y,Negro,172159
52,30,Kia,Seltos,2020,HI8206C,Plata,79901
53,31,Volkswagen,T-Cross,2024,RC3267E,Negro,105410
54,32,Chevrolet,Spark,2016,NK9890O,Rojo,21322
55,32,Chevrolet,Tracker,2016,YS1320Y,Azul,104714
56,33,Volkswagen,T-Cross,2022,MN9818X,Plata,148165
57,34,Chevrolet,Tracker,2013,IN8956A,Rojo,93114
58,34,Mazda,Mazda6,2023,OE9751A,Rojo,160161
59,35,Toyota,Corolla,2020,NE8564F,Blanco,73198
60,35,Mazda,CX-5,2013,OK6529Y,Rojo,77943
61,36,Mazda,CX-5,2023,CP1317X,Azul,18653
62,36,Volkswagen,Polo,2020,CY1659Y,Blanco,69823
63,37,Toyota,Yaris,2012,HE8758V,Blanco,152841
64,38,Hyundai,Tucson,2022,LF2876Y,Verde,47930
65,38,Nissan,Sentra,2019,AJ7149M,Plata,56990
66,38,Honda,HR-V,2021,UH2669W,Verde,84058
67,39,BMW,Serie 3,2022,SZ1672L,Azul,117296
68,39,Volkswagen,Golf,2018,UK1207N,Verde,133503
69,39,Honda,Fit,2015,UO3506N,Negro,197360
70,40,Nissan,March,2022,RY8921O,Rojo,196634
71,40,BMW,X1,2015,HC5569O,Negro,126820
72,41,Mazda,CX-5,2010,PK3979P,Negro,98015
73,41,Nissan,Qashqai,2014,TW5526R,Blanco,140430
74,42,Honda,Accord,2021,NP4937W,Rojo,174319
75,42,Hyundai,Creta,2022,AC5820H,Rojo,186347
76,42,Chevrolet,Sail,2020,SL8753R,Azul,95113
77,43,Kia,Sportage,2015,WO5438J,Gris,65434
78,44,Chevrolet,Sail,2011,XR4033G,Negro,198620
79,45,BMW,X5,2019,JD4180J,Negro,99602
80,46,Toyota,Yaris,2012,IB1893R,Gris,187823
81,47,Hyundai,i10,2023,AS5658P,Rojo,120466
82,47,Volkswagen,Polo,2010,IP2869C,Rojo,133908
83,47,Honda,HR-V,2020,VB3485E,Verde,152545
84,48,Honda,Accord,2011,RY7818T,Azul,167114
85,48,Chevrolet,Cheyenne,2016,OO5871S,Rojo,85053
86,48,BMW,X5,2010,TX2625Y,Negro,168975
87,49,Honda,Accord,2013,FR2229F,Blanco,112090
88,50,BMW,X3,2014,BH5720W,Gris,189283
